latitud,longitud
1.344086,-77.32619
1.340602,-77.325996
1.340081,-77.32599
1.337599,-77.328877
1.336046,-77.332218
1.336841,-77.332715
1.333259,-77.33261
1.333272,-77.332385
1.332903,-77.33281
1.33821,-77.327769
1.333089,-77.332542
1.332767,-77.333062
1.3461948,-77.320693
1.333556,-77.332724
1.333121,-77.332641
1.27441,-77.34238
1.330373,-77.335382
1.329971,-77.335254
1.328622,-77.333969
1.331962,-77.333474
1.331962,-77.333474
1.330424,-77.334079
1.33072,-77.333136
1.3398676,-77.326202
1.330803,-77.333574
1.3398543,-77.327202
1.33608,-77.33208
1.336841,-77.332715
1.33288,-77.33271
1.330396,-77.334979
1.3303568,-77.334876
1.53023,-77.33543
1.33149,-77.33308
1.331504,-77.333061
1.331754,-77.333362
1.330949,-77.334093
1.3333303,-77.332104
1.33154,-77.33367
1.330424,-77.334079
1.328251,-77.333386
1.331618,-77.334623
1.325608,-77.338105
1.328947,-77.33569
1.325608,-77.338105
1.327356,-77.335013
1.32781,-77.33405
1.326083,-77.337837
1.77441,-77.34238
1.33082,-77.33324
1.33035,-77.33349
1.33118,-77.3342
1.33118,-77.33413
1.328606,-77.332461
1.27441,-77.34238
1.33647,-77.33849
1.332305,-77.33267
1.332565,-77.332699
1.323689,-77.343437
1.324151,-77.340308
1.315676,-77.349031
1.315676,-77.349031
1.316814,-77.347568
1.31562,-77.343229
1.32321,-77.350021
1.330137,-77.367058
1.317894,-77.353214
1.319251,-77.354048
1.31597,-77.34881
1.31688,-77.3495
1.318255,-77.353696
1.32055,-77.34681
1.326452,-77.353416
1.326044,-77.353205
1.320759,-77.352234
1.0307267,-77.372601
1.329216,-77.352988
1.326058,-77.354276
1.329216,-77.352988
1.32284,-77.353772
1.32347,-77.357343
1.32057,-77.34698
1.321269,-77.354453
1.322214,-77.35431
1.32197,-77.35408
1.32505,-77.35451
1.322781,-77.354169
1.32597,-77.35476
1.324782,-77.350144
1.32572,-77.3548
1.32946,-77.35025
1.318831,-77.347655
1.321708,-77.35426
1.325944,-77.354159
1.327524,-77.356419
1.321708,-77.357026
1.324415,-77.342837
1.32695,-77.354146
1.326061,-77.356144
1.327924,-77.352455
1.325965,-77.354974
1.335681,-77.344937
1.32582,-77.35518
1.332126,-77.347829
1.316285,-77.349495
1.334847,-77.343967
1.335829,-77.338358
1.336516,-77.338021
1.336403,-77.337902
1.337976,-77.340714
1.336203,-77.337728
1.334556,-77.338741
1.333569,-77.339124
1.336683,-77.342211
1.336534,-77.338228
1.337826,-77.310539
1.335286,-77.337418
1.33503,-77.30455
1.335994,-77.332355
1.333277,-77.336645
1.324912,-77.33861
1.326331,-77.337824
1.336711,-77.341216
1.342585,-77.323886
1.342184,-77.33721
1.34278,-77.336203
1.325265,-77.338356
1.342521,-77.335972
1.338856,-77.338049
1.27441,-77.34238
1.33877,-77.34543
1.33832,-77.3467
1.339007,-77.346358
1.338812,-77.346792
1.33665,-77.34221
1.338918,-77.34723
1.343218,-77.337383
1.3206494,-77.338372
1.334416,-77.338566
1.334578,-77.33844
1.33823,-77.340301
1.336515,-77.33774
1.324585,-77.338311
1.326125,-77.334205
1.32476,-77.33438
1.319889,-77.326183
1.32205,-77.33421
1.32068,-77.33461
1.325604,-77.354353
1.323246,-77.334038
1.321041,-77.334729
1.320654,-77.334798
1.320044,-77.335094
1.325495,-77.334691
1.32349,-77.33437
1.32353,-77.3344
1.323628,-77.324259
1.320938,-77.334575
1.335906,-77.320899
1.350056,-77.33593
1.321881,-77.334459
1.319348,-77.333431
1.318388,-77.334744
1.319059,-77.333523
1.318781,-77.328213
1.32345,-77.333456
1.318646,-77.334635
1.31854,-77.34754
1.318562,-77.334326
1.318924,-77.332975
1.319909,-77.326383
1.318754,-77.332929
1.319962,-77.326632
1.319368,-77.329082
1.319264,-77.32665
1.31917,-77.32709
1.31876,-77.32647
1.318446,-77.326951
1.319918,-77.326492
1.32192,-77.3242
1.322321,-77.323062
1.32367,-77.32239
1.324716,-77.321373
1.32422,-77.32199
1.319919,-77.326493
1.325828,-77.320067
1.32764,-77.31717
1.335757,-77.384028
1.322319,-77.323813
1.335788,-77.384099
1.32422,-77.321522
1.329315,-77.320001
1.31937,-77.323882
1.318582,-77.324085
1.323126,-77.323424
1.315518,-77.326331
1.317552,-77.325972
1.31896,-77.32662
1.315045,-77.330887
1.319621,-77.331756
1.319622,-77.31756
1.32961,-77.31905
1.31574,-77.328893
1.32199,-77.322616
1.315617,-77.33043
1.315231,-77.331795
1.31518,-77.32971
1.343301,-77.316656
1.345718,-77.315615
1.344814,-77.316705
1.329514,-77.318854
1.339008,-77.316965
1.339785,-77.31655
1.318664,-77.324341
1.318185,-77.324791
1.518463,-77.315677
1.1318354,-77.323951
1.31894,-77.32605
1.329454,-77.319779
1.320753,-77.331825
1.31531,-77.32859
1.315961,-77.328515
1.315402,-77.33174
1.330105,-77.31505
1.344023,-77.341224
1.3380532,-77.317285
1.3380736,-77.317296
1.338176,-77.317243
1.338464,-77.31684
1.337425,-77.31769
1.337846,-77.316576
1.337611,-77.317033
1.335109,-77.318166
1.336915,-77.317438
1.338092,-77.317333
1.337565,-77.319638
1.335422,-77.318332
1.335621,-77.318758
1.3371204,-77.318695
1.337138,-77.31899
1.3349926,-77.319465
1.33615,-77.319247
1.343098,-77.321191
1.338417,-77.315737
1.337099,-77.319745
1.340339,-77.321913
1.3370088,-77.319747
