resultados,indicadores,cursos
Gestantes sin mortalidad y morbilidad evitable,Razon de Morbilidad Materna Extrema (MME),GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad evitable,Razon de Mortalidad Materna,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad evitable,Porcentaje de nacidos vivos a t‚rmino con bajo peso al nacer,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad evitable,Porcentaje de nacidos vivos con bajo peso al nacer,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad evitable,Tasa de mortalidad perinatal,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad evitable,Tasa de mortalidad neonatal temprana,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad evitable,Tasa de incidencia de Hipotiroidismo Cong‚nito,GESTANTE
Reci‚n nacidos sin mortalidad y morbilidad evitable,Tasa de incidencia de sifilis cong‚nita,GESTANTE
Mujeres que toman decisiones en relacion con la planeacion de la gestacion,Proporcion de mujeres con intencion reproductiva a corto plazo que reciben atencion preconcepcional,GESTANTE
Mujeres que toman decisiones en relacion con la planeacion de la gestacion,Proporcion de mujeres con atencion preconcepcional que reciben ÿcido folico durante los 3 meses anteriores a la gestacion,GESTANTE
Mujeres que toman decisiones en relacion con la planeacion de la gestacion,Proporcion de mujeres con consulta para la valoracion integral orientacion y asesoria frente a la IVE,GESTANTE
Mujeres que toman decisiones en relacion con la planeacion de la gestacion,Proporcion de IVE solicitadas antes de la semana 15 de gestacion del total de solicitudes,GESTANTE
Mujeres que toman decisiones en relacion con la planeacion de la gestacion,Proporcion de mujeres en las que la IVE se hacen efectivas segun criterio de oportunidad (5 dias),GESTANTE
Mujeres que toman decisiones en relacion con la planeacion de la gestacion,Proporcion de IVE segun causal,GESTANTE
Mujeres que toman decisiones en relacion con la planeacion de la gestacion,Proporcion de mujeres con suministro de m‚todo anticonceptivo post IVE del total de casos de IVE atendidos,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes con captacion temprana al control prenatal (antes semana 10),GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes con cuatro o mÿs controles prenatales,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes de alto riesgo con control prenatal realizado por especialista,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes con el total de paraclinicos requeridos segun edad gestacional,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes con asesoria toma y resultado de Elisa para VIH,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes con tamizaje para sifilis,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes con suministro de micronutrientes,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Cobertura de gestantes con asistencia a curso de preparacion de la maternidad y la paternidad (7 sesiones),GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Cobertura de gestantes con consulta de nutricion,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes con valoracion de la salud bucal,GESTANTE
Mujeres que viven su gestacion en las mejores condiciones de salud,Proporcion de gestantes con consejeria de lactancia materna,GESTANTE
Mujeres que reciben una atencion segura y humanizada del parto,Porcentaje de partos con manejo activo del tercer periodo de parto,GESTANTE
Mujeres que reciben una atencion segura y humanizada del parto,Proporcion de cesÿreas del total de partos (vaginales mÿs cesÿreas),GESTANTE
Mujeres que reciben una atencion segura y humanizada del parto,Proporcion de cesÿreas por grupos de Robson,GESTANTE
Mujeres que reciben una atencion segura y humanizada del parto,Porcentaje de partos en los que la mujer tiene acompa¤ante (seleccionado) durante el trabajo de parto y parto del total de partos atendidos,GESTANTE
Mujeres que reciben una atencion segura y humanizada del parto,Porcentaje de partos en los que se diligencia el partograma del total de partos atendidos,GESTANTE
Mujeres en periodo de puerperio en las mejores condiciones de salud ,Porcentaje de partos con monitoria de signos vitales (cada 15 minutos) durante el puerperio inmediato,GESTANTE
Mujeres en periodo de puerperio en las mejores condiciones de salud ,Proporcion de mujeres con asesoria en anticoncepcion postparto o postaborto antes del alta,GESTANTE
Mujeres en periodo de puerperio en las mejores condiciones de salud ,Proporcion de mujeres con provision de metodo anticonceptivo postparto o postaborto antes del alta,GESTANTE
Mujeres en periodo de puerperio en las mejores condiciones de salud ,Proporcion de gestantes que reciben consulta de control del puerperio,GESTANTE
Mujeres en periodo de puerperio en las mejores condiciones de salud ,Proporcion de mujeres que son dadas de alta en el puerperio cumpliendo el tiempo establecido (parto 24 horas y cesÿrea 48horas) del total de partos,GESTANTE
Neonatos en las mejores condiciones de salud posibles,Proporcion de reci‚n nacidos que son dados de alta cumpliendo el tiempo establecido (24 horas rn sano y 48 horas para el RN con riesgo),GESTANTE
Gestantes sin mortalidad y morbilidad evitable,Razon de prevalencia de sifilis gestacional,GESTANTE
Gestantes sin mortalidad y morbilidad evitable,Proporcion de gestantes con sifilis gestacional que recibieron tratamiento al menos 4 semanas antes del parto,GESTANTE
Gestantes sin mortalidad y morbilidad evitable,Relacion Morbilidad Materna Extrema(MME) / Muerte Materna temprana (MM),GESTANTE
Gestantes sin mortalidad y morbilidad evitable,Oportunidad de referencia en los casos de MME,GESTANTE
Gestantes sin mortalidad y morbilidad evitable,Proporcion de MME con tres o mÿs criterios (casos que agrupan tres o mÿs criterios),GESTANTE
Gestantes sin mortalidad y morbilidad evitable,Relacion criterios / caso en la MME,GESTANTE
Gestantes sin mortalidad y morbilidad evitable,™ndice de mortalidad materna de los casos de MME,GESTANTE
Reci‚n nacidos que reciben una atencion neonatal segura,Proporcion de reci‚n nacidos que reciben atencion integral en sala de partos,GESTANTE
Reci‚n nacidos que reciben una atencion neonatal segura,Proporcion de reci‚n nacidos sanos con pinzamiento de cordon umbilical mayor a 1 minuto,GESTANTE
