TIPO,BARRIO
Comuna:,Avenida Santander
Comuna:,Bombona
Comuna:,Avenida Boyacá
Comuna:,Caracha
Comuna:,Centro
Comuna:,Condominio Santiago
Comuna:,El Churo
Comuna:,El Cilindro
Comuna:,El Parque
Comuna:,El Portalito
Comuna:,Hullaguanga
Comuna:,La Panadería
Comuna:,Las Américas
Comuna:,Los Dos Puentes
Comuna:,Marcos De La Rosa
Comuna:,San Agustín Centro
Comuna:,San Andrés
Comuna:,San Andresito
Comuna:,San Andresito
Comuna:,San José
Comuna:,San José Obrero
Comuna:,Santiago
Comuna:,Aire Libre
Comuna:,Alhambra
Comuna:,Atahualpa
Comuna:,Avenida Boyacá
Comuna:,Avenida Champagnath
Comuna:,Avenida Colombia
Comuna:,Bella Vista
Comuna:,Casa Bella
Comuna:,Coliseo Cubierto
Comuna:,El Olivo
Comuna:,El Prado
Comuna:,El Recuerdo
Comuna:,Fátima
Comuna:,Javeriano
Comuna:,Julián Bucheli
Comuna:,La Gran Colombia
Comuna:,Las lunas I
Comuna:,las lunas II
Comuna:,Las Violetas I
Comuna:,Las Violetas II
Comuna:,Las Violetas III
Comuna:,Las Violetas IV
Comuna:,Los Abedules
Comuna:,Los Álamos
Comuna:,Los Balcones
Comuna:,Los Olivos
Comuna:,Medardo Bucheli
Comuna:,Navarrete
Comuna:,Normandía
Comuna:,Parque Bolívar
Comuna:,Salomón
Comuna:,San Miguel
Comuna:,Sector San Juan Bosco
Comuna:,Villa Lucia
Comuna:,iAlejandría
Comuna:,Arnulfo Guerrero
Comuna:,Caicedonia
Comuna:,Camilo Torres
Comuna:,Casa Loma
Comuna:,El Ejido
Comuna:,Guamuez
Comuna:,José Antonio Galán
Comuna:,La Esmeralda
Comuna:,La Estrella
Comuna:,Las Brisas
Comuna:,Las Lajas
Comuna:,Las Mercedes
Comuna:,Los Pinos
Comuna:,Mercedario
Comuna:,Pie De Cuesta
Comuna:,Pinar Del Rio
Comuna:,Popular
Comuna:,Pucalpa I
Comuna:,Pucalpa II
Comuna:,Pucalpa III
Comuna:,Rosal Del Oriente
Comuna:,Santa Bárbara
Comuna:,Santa Catalina
Comuna:,Santa Mónica
Comuna:,Villa Oriente
Comuna:,Villaflor I
Comuna:,Villaflor II
Comuna:,Albergue Del Sol
Comuna:,Altos De Lorenzo
Comuna:,Altos Del Campo
Comuna:,Avenida Idema
Comuna:,Belén
Comuna:,Bernal
Comuna:,Betania
Comuna:,Chile
Comuna:,Doce De Octubre I
Comuna:,Doce De Octubre II
Comuna:,El Porvenir
Comuna:,El Rosario
Comuna:,El Tejar
Comuna:,El Triunfo
Comuna:,La Paz
Comuna:,Laureano Gómez
Comuna:,Lorenzo De Aldana
Comuna:,Los Elíseos
Comuna:,Miraflores I
Comuna:,Miraflores II
Comuna:,Praga
Comuna:,Puerta Del Sol
Comuna:,Rincón Colonial
Comuna:,San Germán
Comuna:,San Juan De Los Pastos
Comuna:,Santa Fe I
Comuna:,Santa Fe II
Comuna:,Santacruz
Comuna:,Sendoya
Comuna:,Siete De Agosto
Comuna:,Villa Olímpica
Comuna:,Villa Victoria
Comuna:,Villadocente
Comuna:,Altos De Chapalito I
Comuna:,Altos De Chapalito II
Comuna:,Altos De Chapalito III
Comuna:,Antonio Nariño
Comuna:,Cantarana
Comuna:,Chambú I
Comuna:,Chambú II
Comuna:,Chapal
Comuna:,Chapal II
Comuna:,El Pilar
Comuna:,El Progreso
Comuna:,El Remanso
Comuna:,Emilio Botero I
Comuna:,Emilio Botero II
Comuna:,Emilio Botero III
Comuna:,Emilio Botero IV
Comuna:,La Minga
Comuna:,La Rosa
Comuna:,La Vega
Comuna:,Las Ferias
Comuna:,Los Cristales
Comuna:,Los Robles
Comuna:,Madrigal
Comuna:,María Isabel I
Comuna:,María Isabel II
Comuna:,María Isabel III
Comuna:,Potrerillo
Comuna:,Prados Del Sur
Comuna:,Salida Al Sur- Urbano
Comuna:,San Martin
Comuna:,Santa Clara
Comuna:,Venecia
Comuna:,Villa Del Rio
Comuna:,Vivienda Cristiana
Comuna:,Agualongo
Comuna:,Altamira
Comuna:,Bachue
Comuna:,Caicedo
Comuna:,Ciudad Jardín
Comuna:,Cooperativa Popular Nariñense
Comuna:,El Estadio
Comuna:,El Libertador
Comuna:,Gilberto Pabón
Comuna:,Granada I
Comuna:,Granada II
Comuna:,Granada III
Comuna:,Granada IV
Comuna:,Inem
Comuna:,Jerusalén
Comuna:,La Cruz
Comuna:,La Palma
Comuna:,Los Fundadores
Comuna:,Luis Carlos Galán
Comuna:,Mijitayo II
Comuna:,Mijitayo
Comuna:,Mijitayo Bajo
Comuna:,Mirador De Niza
Comuna:,Niza I
Comuna:,Niza II
Comuna:,Niza III
Comuna:,Nueva Colombia
Comuna:,Prados Del Niza
Comuna:,Quillacinga
Comuna:,Quito López I
Comuna:,Quito López II
Comuna:,Quito López III
Comuna:,San Carlos
Comuna:,San Miguel De Jongovito
Comuna:,San Sebastián
Comuna:,Santa Isabel
Comuna:,Santanita
Comuna:,Sumatambo
Comuna:,Tamasagra I
Comuna:,Tamasagra II
Comuna:,Tequendama
Comuna:,Valle Lili
Comuna:,Villa De Los Ríos
Comuna:,Achalay
Comuna:,Avenida Panamericana
Comuna:,Capusigra
Comuna:,Castillos Del Norte
Comuna:,Conjunto El Parque
Comuna:,El Bosque
Comuna:,El Edén
Comuna:,El Rincón De La Aurora
Comuna:,El Rincón De La Panamericana
Comuna:,Francisco De La Villota
Comuna:,La Aurora
Comuna:,La Primavera
Comuna:,Las Acacias
Comuna:,Las Camelias
Comuna:,Los Andes
Comuna:,Los Hexágonos
Comuna:,Rosales II
Comuna:,Rosales I
Comuna:,San Felipe
Comuna:,San Ignacio
Comuna:,Santa María
Comuna:,Villa Aurora
Comuna:,Villa Campanela
Comuna:,Villa Sofía
Comuna:,Villa Vergel
Comuna:,Altamira – San Vicente
Comuna:,Altavista
Comuna:,Altos de la Colina
Comuna:,Anganoy
Comuna:,Arcos Iris
Comuna:,Avenida Panamericana
Comuna:,Balcones de Mariluz
Comuna:,Bello Horizonte
Comuna:,Colón
Comuna:,Colpatria
